description;class
vente de carrelages  de dallages vente de carrelage vente de faience vente de mosaique   salle d exposition  carrelage  faience  mosaique  dallage terrasse  carrelage imitation parquet   ;False
entreprises d electricite generale    ;False
stores depannage sur vos menuiseries exterieures depannage de portes de garage reparation de volets roulants marques renson somfy brustor cetal hormann lakal roma ehret selo wounwo produits stores volets motorisations portails portes de garage motorisation de portails fenetres alu  pvc stores interieurs rideaux non feux rge stores portes blindees fenetres portes de garage pergolas reparation de volets roulants volets roulants portes  portails materiel pour fabrication  transformation de papier  de carton menuiserie pvc votre specialiste depuis 1975  depannage stores toiles exterieurs  volets roulants toutes marques  motorisation  portails  portes de garage toutes marques  certification expert somfy;False
entreprises de peinture peinture de sol peinture de volets   ;False
constructions metalliques serrurerie metallerie robotisation bureau d etudes acces aux personnes a mobilite reduite marques sas produits charpente metallique  constructions metalliques serrurerie  metallerie charpentes metalliques dotes de 50 ans d experience  notre entreprise est specialisee dans la creation sur mesure de toutes vos constructions metalliques beneficiez de notre savoir faire et des competences de nos professionnels diplomes specialises en construction pour un travail de qualite ;True
entreprises de maconnerie    ;False
plombiers contrat d entretien installation de chaudiere installation de pompe a chaleur installation de poele chaudiere mise en service produits radiateur  plombiers vente  installation de chauffage ;False
magasins de meubles agencement de cuisine livraison produits cuisine en bois cuisine ouverte cuisine sur mesure credence meuble haut de gamme poignee rangement evier marques mobalpa  magasins de meubles vente  installation de cuisines vente  installation de salles de bain ;False
monte escaliers   monte escaliers agencement de magasins fabrication  installation d escaliers entreprises de menuiserie ;False
equipements de salles de bain    ;False
installations frigorifiques    ;False
vente  installation de climatisation installation de systemes de chauffage installation de systemes de climatisation installation de pompe a chaleur vente de systemes de chauffage vente d installations frigorifiques vente de systemes de climatisation depannage de systemes de climatisation depannage de systemes de chauffage entretien de systemes de chauffage etudes en installations marques daikin qualipac agree fluides frigorigenes vente  installation de climatisation energies renouvelables pompes a chaleur vente  installation de chauffage installations frigorifiques depannage d electromenager en plus de l installation de systemes de chauffage et de climatisation  le catalogue de nos prestations inclut la mise en place de pompe a chaleur nos services comportent de plus la vente de systemes de chauffage et d installations frigorifiques mais egalement le service de depannage sans oublier l entretien de systemes de chauffage ;False
bureaux d etudes  ingenierie  batiments     ;False
assainissement agrandissement de maison amenagement de cour devis gratuit macon couvreur maconnerie de batiment industriel maconnerie de pierre plancher beton renovation de toiture surelevation de maison amenagement exterieur bois de facade couverture maconnerie mortier pierre naturelle ravalement renovation produits chape chaux dallage en beton enduit mur porteur produits chape dallage en beton eco artisan rge rge assainissement entreprises de maconnerie ravalement de facades entreprises de couverture renovation immobiliere entreprises de terrassement agrandissement  extension de maison ;True
entreprises d electricite generale    ;False
pompes funebres   pompes funebres fleuristes marbriers funeraires thanatopracteurs ;False
alarmes  surveillance   systemes  vente  installation  telemaintenance etude sur rendez vous devis gratuits produits controle d acces  alarmes  surveillance   systemes  vente  installation  materiel de protection contre le vol au service de votre tranquillite depuis plus de 30 ans   professionnel de l installation anti intrusion  videosurveillance  filaire et ou radio devis gratuits particuliers  commerces  entreprises ;False
entreprises de maconnerie maconnerie travaux publics renovation taille de pierre ravalement amenagement de caves amenagement de troglodytes   nous intervenons dans le domaine de la maconnerie et travaux publics nous amenageons des caves et des troglodytes vous etes interesse  vous avez un projet   n hesitez pas a nous contacter  ;False
vente  installation de cuisines agencement de cuisine renovation complete conception de dressing  placard remplacement d electromenager amenagement pmr agencement de cuisine destockage de cuisine equipee installation d electromenager installation de hotte de cuisine pose de plan de travail de cuisine renovation de cuisine conception de cuisine en 3d cuisine amenagee marques leicht la cuisine francaise allmilmo produits plan de travail en granit plan de travail en ceramique piano de cuisson hotte professionnelle electromenager placard rangement accessoire credence de cuisine en verre cuisine contemporaine cuisine design cuisine haut de gamme cuisine sur mesure cuisine moderne cuisine ouverte ilot de cuisine meuble de cuisine bas meuble de cuisine equipee petite cuisine equipee plan de travail cuisine design italienne plan de travail en ceramique plan de travail en granit cuisine fabriquee en france cuisine equipee reseaux facebook iso 9001 vente  installation de cuisines fabrication  installation de placards fabrication  installation de dressings vous ecouter  vous conseiller  vous proposer  jamais vous imposer  cuisinistes independants depuis plus de 30 ans  nous vous proposons un grand choix de modeles et de styles  que vous pourrez decouvrir dans nos showrooms avec une multitude d echantillons et de materiaux afin de creer la cuisine de vos reves de plus  nos concepteurs pourront modeliser votre projet grace a un logiciel performant  afin de vous donner un apercu de vos futurs amenagements ;False
entreprises de peinture peinture interieure   ;False
renovation immobiliere travaux de maconnerie pose de carrelage travaux d isolation pose d enduits travaux de ravalement de facades travaux de renovation de maisons transformation de maisons dans le style local qualibat renovation immobiliere entreprises de batiment pose de carrelages  de dallages agrandissement  extension de maison travaux d isolation entreprises de maconnerie specialiste de la renovation et transformation dans le style local  notre entreprise propose des travaux de maconnerie generale  d isolation et de ravalement de facades nous sommes egalement a votre disposition pour la pose d enduits et de carrelages nous avons des nombreuses references et nous assurons des travaux soignes par nos equipes qualifiees et encadrees devis gratuits ;False
entreprises de maconnerie renovation de maison  de ferme  de charpente construction de terrasse  de pavage  de dallage  de mur en pierre fabrication de pergola  d auvent  d appentis  de garage surelevation de toit travaux d etaiement realisation  entretien  demoussage de toiture revision d etancheite intervention sur fuite bachage suite a un sinistre vrd tp devis gratuit produits charpente traditionnelle en bois chape tuile hydrofuge les moyens de paiement artisan qualibat entreprises de maconnerie entreprises de couverture charpentes situee a givors  notre entreprise est specialisee dans le secteur de la maconnerie generale et de la couverture depuis 1976 nous effectuons egalement des travaux d agrandissement et de rehabilitation  dans le respect de l environnement et des delais n hesitez pas a consulter notre site internet pour plus d informations ;True
entreprises d electricite generale installation courant faible mise aux normes electriques marques edf hager wilo   ;False
bricolage  outillage   bricolage  outillage materiel agricole poeles  poeles a bois motoculture de plaisance ;False
entreprises de maconnerie    ;True
entreprises de menuiserie menuiserie d agencement menuiserie bois menuiserie sur mesure produits portes placards dressing escaliers bibliotheques sur mesure meubles sur mesure parquets lambris   ;False
materiel agricole    ;False
plombiers mise aux normes aerothermie geothermie chaudiere produits chaudiere au fioul chaudiere a bois chaudiere a bois dechiquete chaudiere a condensation chaudiere a gaz chauffage au bois chauffage au fioul chauffage au gaz chauffage a granules chauffage electrique pompe a chaleur poele a granules  plombiers vente  installation de chauffage ;True
activite non renseignee    ;False
vente  pose de revetements de sols et de murs pret d echantillon produits carrelages interieurs carrelages exterieurs parquets  vente  pose de revetements de sols et de murs pose de carrelages  de dallages ;False
chaudieres a gaz chaudiere  chaudieres a gaz plombiers ;False
entreprises de menuiserie menuiserie bois restauration de patrimoine ancien menuiserie sur mesure produits portes d entree fenetres portes fenetres   ;False
serrurerie  metallerie    ;False
entreprises de peinture    ;False
entreprises de batiment    ;False
entreprises d electricite generale    ;False
entreprises d electricite generale electricien en batiment electricite courant faible electricite domestique installation de courant fort   ;False
vitrerie menuiserie agencement de magasin depannage vitrerie devis gratuit produits volets roulants vitrages isolants  vitrerie miroiterie vitrerie  miroiterie  agencement de magasins  menuiserie alu et pvc  volets roulants  verres et glaces de securite  vitrages  isolants depannage vitrerie suite vandalisme ou sinistre devis gratuits ;False
materiaux de construction anciens fabrication sur mesure menuiserie traditionnelle portail produits marche d escalier porte ancienne porte d entree porte fenetre appui de fenetre chassis escalier linteau porte produits  prestations et services renovation de menuiserie type de menuiserie charpente volet  materiaux de construction anciens entreprises de menuiserie tailleurs de pierres ;False
plombiers vente de systemes de chauffage installation de systemes de chauffage plomberie entretien de chaudieres au gaz  au bois  au fuel entretien de pompes a chaleur realisation de salles de bains sur mesure geothermie installation de sanitaire renovation de salle de bain produits chaudiere a condensation au fioul chaudiere a condensation au gaz chaudiere a gaz chauffage au bois chauffage geothermique chauffage a granules plancher chauffant basse temperature rge l   energie est notre avenir  economisons la l   energie est notre avenir  economisons la l   energie est notre avenir  economisons la plombiers installation de sanitaires vente  installation de chauffage depuis 25 ans chauffage  sanitaire  plomberie et salles de bains depuis 25 ans au service de vos installations de chaudieres condensation   gaz  bois  fuel  poeles a granules et pompes a chaleur realisation sanitaires et salles de bain cle en main certifie rge serge bruler et ses equipes   l experience et le conseil pour une prestation de qualite fiable et durable ;True
marbriers funeraires pose de monuments funeraires renovation funeraire realisation de gravures funeraires devis a domicile sur demande produits caveaux funeraires monuments funeraires tombes reseaux mfq  marbriers funeraires fabrication de monuments  d articles funeraires le deces d un parent ou d un proche est toujours un evenement difficile a surmonter notre marbrerie sera a vos cotes afin que vous puissiez lui montrer votre respect granitier fabricant a toulouse de pere en fils depuis 1846  notre atelier peut vous aider pour tout ce qui a trait a la remise en etat la plus sobre ou a l habillage de tout monument funeraire nous sommes disponibles a deux adresses sur le departement ;False
serrurerie  metallerie changement de serrure metallerie chaudronnerie metallerie inox metallerie industrielle serrurier ferronnier  serrurerie  metallerie menuiserie metallique ;False
magasins d electromenager livraison a domicile produits gros electromenager  magasins d electromenager vente en telephonie vente de materiel  de consommables d informatique entreprises d electricite generale vente de television  de video  de son ;False
volets roulants fabrication de menuiseries en aluminium installation de menuiseries en aluminium vente de menuiseries en aluminium fabrication de menuiseries en pvc vente de menuiseries en pvc installation de menuiseries en pvc fabrication de stores  vente de stores  installation de stores fabrication de volets roulants  vente de volets roulants  installation de volets roulants creation de verandas  vente de verandas  installation de verandas fabrication de portes  vente de portes  installation de portes fabrication de portails  vente de portails  installation de portails fabrication de portes de garage  vente de portes de garage  installation de portes de garage fabrication de pergolas  vente de pergolas  installation de pergolas motorisation automatisation marques somfy certification iso 9001 expert somfy volets roulants stores fenetres portes  portails pergolas verandas  inter stores  un interieur et un exterieur qui vous ressemblent   notre entreprise est specialisee dans la protection solaire  la menuiserie en aluminium et en pvc et la fermeture de batiment nous sommes a votre service depuis 1977 pour la fabrication  la vente et l installation de menuiseries en aluminium  menuiseries en pvc  stores  volets roulants  verandas  portes  portails  portes de garage et pergolas vous avez a votre disposition deux points de vente avec hall d exposition  a six fours et a la valette  avec 7 equipes de poseurs pour de plus amples renseignements  veuillez contacter inter stores  ;False
entreprises d electricite generale    ;False
entreprises de maconnerie    ;False
vente  reparation de bateaux de plaisance    ;False
fenetres fabrication de menuiseries exterieures sur mesure pose de menuiseries exterieures fabrication de fenetres en pvc fabrication de fenetres en aluminium fabrication de fenetres en bois fabrication de fenetres mixtes garantie decennale fabrication de volets fabrication de stores fabrication de portes fabrication de portes de garage fabrication de portails etudes personnalisees devis gratuits marques la venitienne stores marquises f p e e  cedmat aludoor somfy bredok produits volets stores fenetres portes de garage portails rge qualibat fenetres portes  portails portes de garage stores fenetres pvc volets roulants fondee en 1975  notre societe assure la fabrication sur mesure et la pose de menuiseries exterieures nous fabriquons egalement des fenetres en pvc  en aluminium et en bois et nous vous proposons un large  choix de couleurs ;False
vente  installation de climatisation    ;False
entreprises de couverture couverture en ardoise  en bac acier  en zinc amenagement de combles ramonage couvreur ramoneur isolation de toiture  thermique etancheite zinguerie service apres vente devis gratuit produits gouttiere qualibat rge garantie decennale entreprises de couverture ramonage constructeurs de maisons en bois entreprises d etancheite charpentes depuis plus de 35 ans  des solutions sur mesure  une reactivite immediate couverture en ardoise  reparation  service apres vente  zinc  bac acier et pose tous types de bardage nous realisons egalement vos travaux d etancheite  vos charpentes en bois et lamelle colle  vos maisons en bois performantes  neufs et de renovation particuliers  professionnels  bailleurs sociaux  syndics isolation thermique par l exterieur  demoussage et ramonage isolation interieure  amenagement de combles certifie qualibat rge  garantie decennale  devis gratuits ;True
entreprises de couverture charpente zinguerie isolation combles artisan entreprises de couverture charpentes notre entreprise est specialisee dans les travaux de couverture  nous vous proposons notre savoir faire  et mettons notre tres longue experience a votre service ;True
vente  installation de chauffage aluminium couverture en ardoise tuile zinc  vente  installation de chauffage entreprises de couverture ;True
marbre de decoration plan de travail sur mesure en granit  marbre  pierre  ceramique  composites agencement et decoration d escalier realisation de plans de cuisine et salles de bains creation d eviers  lavabos massifs en pierre creation d escaliers sur mesure en pierre  granit  marbre  composites dallage fabrication de monuments funeraires fabrication de caveaux produits bac a douche  eviers  lavabos  baignoires  bars  consoles  gueridons  plans de vasques tables decoratives plan de travail  escaliers d exception caveau en beton monument funeraire pierre tombale stele funeraire habillages de cheminees classiques ou contemporaines les moyens de paiement  marbre de decoration fabrication de monuments  d articles funeraires marbriers funeraires plans de travail marbres  granits  pierres naturelles marbrerie miletto  la tradition et lamour de lart depuis plus de 60 ans  notre marbrerie miletto travaille des blocs entiers de marbre et de granit et realise votre plan de travail sur mesure  votre evier  votre lavabo nous sommes specialises en marbrerie decorative et en marbrerie funeraire pour vous accompagner dans la joie et la peine nous realisons des monuments et articles funeraires et tous types de travaux de dallage  escaliers  salles de bains et cuisines contactez nous et nous saurons satisfaire toutes vos envies dans le respect de la tradition et de lamour de lart ;False
entreprises de maconnerie isolation des combles zinguerie ravalement de facades creation de genoises a l ancienne construction en brique produits carrelage qualibat rge entreprises de maconnerie entreprises de couverture charpentes confiez nous vos travaux de couverture  charpente bois traditionnelle et maconnerie  pour le petit et le gros uvre dotee d un materiel adapte a tous types de travaux  notre entreprise realise et rehabilite des monuments anciens et des eglises retrouvez nous sur notre site internet ;True
assainissement terrassement pour assainissement  vrd enrochement pose micro station amenagement des terrains aplanissement du sol preparation des fondations creusement des tranchees conseils personnalises devis gratuit produits mini pelle artisan assainissement travaux publics entreprises de terrassement notre entreprise est specialisee dans l activite de terrassement et realise tous types de travaux de mise a niveau des terrains  d enrochement et de reseau faites appel a nous pour votre projet d assainissement egout et fosse septique  notre equipe de professionnels qualifies est a votre ecoute pour repondre a vos exigences nos chantiers respectent les normes en vigueur ;False
paysagistes amenagement de jardin cles en main  de cloture  de barriere  de panneau grille  producteur  contrat d entretien  cours de taille gratuit  arrosage automatique  visite de pepiniere  marques betafence pots papi produits rosiers  fruits  baies  dallages  beton desactive  agree par le ministere de l agriculture  sous le numero bo10170 paysagistes amenagement  entretien de jardins  de parcs si vous avez besoin d un paysagiste pour la creation de votre jardin  la renovation de parcs ou de jardins  l elagage de gros sujets  la pose de clotures ou pour la refection de cours  comptez sur notre equipe nous faisons aussi la plantation et la production d arbres  d arbustes  de fruitiers  de rosiers ou de coniferes ;False
materiel d expositions  foires  salons    ;False
entreprises de peinture    ;False
entreprises de platrerie   entreprises de platrerie entreprises de peinture vente  pose de revetements de sols et de murs ;False
miroiterie    ;False
ravalement de facades   ravalement de facades entreprises de peinture ;False
entreprises de menuiserie menuiserie sur mesure menuiserie d agencement restauration de menuiserie menuiserie pvc menuiserie bois menuiserie industrielle restauration de patrimoine ancien produits bibliotheques sur mesure meubles sur mesure parquets lambris portes portes d entree baies vitrees volets fenetres portes fenetres portes de garage placards dressing escaliers   ;False
entreprises d electricite generale    ;False
activite non renseignee    ;True
plombiers    ;False
travaux publics fondation speciale genie civil excavation travaux fluviaux dragage viabilisation de terrain terrassement vrd enrochement palplanches assainissement terrassement artisan  pour vous sentir en harmonie avec votre maison  faites en sorte que celle ci soit a votre image nos professionnels mettent leur savoir faire au service de vos travaux en vous proposant des prestations sur mesure n hesitez pas a solliciter votre devis gratuit des a present ;False
entreprises d electricite generale installations electriques entretien de vos installations electriques realisation d installations electriques maintenance de vos installations electriques renovation electrique remise a niveau des eclairages realisation de vos projets de reseau informatique mise en securite selon le rapport de controle mise en confort selon releve sur site installation de tableaux electriques installation de disjoncteurs installation de chauffage au sol marques vigik qualifelec e2 c2 ch entreprises d electricite generale amenagement de locaux industriels  professionnels notre  entreprise vous propose ses services pour le depannage  l entretien ou la realisation complete en neuf ou en renovation d installations electriques et informatiques nos techniciens qualifies ont les competences pour intervenir rapidement et vous proposer des solutions adaptees dans de nombreux domaines   electricite generale ou industrielle  mise en securite  mise en conformite  installation ou renovation complete contactez nous et obtenez une etude personnalisee et un devis gratuit ;False
vente  pose de revetements de sols et de murs vente de revetements de sols pose de revetements de sols vente de parquets pose de parquets vente de rideaux pose de rideaux vente de linges de maison pose de tapis pose de papiers peints pose de stores vente de tapis vente de papiers peints vente de stores vente de coussins marques panaget quick step sylvie thiriez balterio kahrs kadeco berry alloc les moyens de paiement  vente  pose de revetements de sols et de murs rideaux  voilages  tissus d ameublement decorateurs pose  entretien  vitrification de parquets vente et pose de revetements de sol et de parquet rideaux  linge de maison  tapis  papiers peints  cadeaux ;False
vente  installation de climatisation   vente  installation de climatisation vente  installation de chauffage ;False
entreprises de peinture    ;False
entreprises de couverture realisations couverture ardoise couverture acier couverture aluminium couverture tuile couverture zinc   ;True
entreprises de peinture refection  ravalement de facade revetement de murs  de sols isolation thermique travaux de finition bardage devis gratuit produits chaux brique enduit tapis linoleum pierre naturelle parquet stratifie  flottant qualibat rge entreprises de peinture travaux d isolation pose  entretien  vitrification de parquets vente  pose de revetements de sols et de murs ravalement de facades specialises dans le domaine de la peinture  nous effectuons tous types de travaux sur batiments notre equipe polyvalente a votre service propose l entretien et l embellissement de vos facades  la decoration interieure de vos murs  le traitement des toitures et des bardages ainsi que l installation d isolation exterieure n hesitez pas a nous contacter pour toute question ou demande de devis ;False
depannage serrurerie    ;False
activite non renseignee    ;False
entreprises de maconnerie    ;False
entreprises de maconnerie    ;False
plombiers    ;False
serrurerie  metallerie   serrurerie  metallerie chaudronnerie ;False
entreprises de maconnerie    ;True
entreprises d electricite industrielle renovation electrique electricite courant faible electricite domestique cablage multimedia depannage electricite produits installation electrique alarme marques legrand schneider legrand  entreprises d electricite industrielle plombiers entreprises d electricite generale vente  installation de climatisation ;False
entreprises de couverture    ;True
entreprises de maconnerie renovation de toiture agrandissement de maison charpente maconnerie de gros uvre  de facade couverture de maison garantie decennale entreprises de maconnerie entreprises de couverture forte d une experience de plus de 20 ans  notre societe prend en charge tous vos travaux neufs et de renovation  dans le respect des regles de l art beneficiez d un savoir faire irreprochable  au meilleur prix contactez nous pour toute demande de devis detaille ;True
rideaux metalliques installation de rideaux metalliques installation de portails installation de portails automatiques installation de portes installation de portes de garage installation de portes sectionnelles installation de portes fenetres installation de portillons installation d automatismes installation de grilles en acier installation de grilles perforees installation de grilles pleines installation d equipements de quai travaux de maintenance industrielle motorisation de portes de garage  rideaux metalliques serrurerie  metallerie portes automatiques ferronnerie nos prestations s adressent a ceux qui sont a la recherche d un specialiste en installation de rideaux metalliques l installation de rideaux metalliques  de portails et d automatiques est notre specialite depuis 1979 par ailleurs  nous installons des portes  des portes de garage et des portes sectionnelles vous pouvez aussi faire appel a nous pour l installation de portes fenetres et de portillons nous intervenons en france ;False
volets roulants fabrication de fenetres en pvc fabrication de fenetres en aluminium fabrication de protections solaires fabrication de stores fabrication de volets roulants fabrication de portes d entrees pose de fermetures de securite fabrication de portes de garage fabrication de portails fabrication de clotures fabrication de volets motorisation de portails motorisation de portes de garage renovation de verandas renovation de toitures changement de fenetre renovation de fenetre fabricant de fenetre en pvc fabricant de menuiserie pvc menuiserie sur mesure fabricant de portail installateur de motorisation de portail installateur de portail installateur de porte reparation de portail reparation de porte fabrication de store pose de volet roulant renovation de volet roulant reparation de volet roulant installateur de porte de garage fabricant de fenetre pose de fenetre motorisation de portail changement de fenetre renovation de fenetre fabricant de menuiserie pvc fabricant de portail installateur de motorisation de portail installateur de portail installateur de porte reparation de portail reparation de porte fabrication de store pose de volet roulant renovation de volet roulant reparation de volet roulant installateur de porte de garage fabricant de fenetre pose de fenetre motorisation de portail fabricant de fenetre en pvc menuiserie sur mesure marques cekal rideau produits baie vitree sur mesure fenetre en bois fenetre en bois sur mesure fenetre cintree fenetre en pvc porte fenetre portail pvc porte pvc baie vitree portail aluminium portail telecommande porte aluminium porte sectionnelle rideau metallique porte coulissante moustiquaire store banne store californien store exterieur store de fenetre store interieur store roulant store de veranda store venitien piece detachee de volet roulant volet roulant motorise fenetre en aluminium fenetre sur mesure huisserie porte fenetre en pvc portail electrique baie vitree sur mesure fenetre en bois fenetre cintree fenetre en pvc porte fenetre portail pvc porte pvc portail aluminium portail pvc portail telecommande porte aluminium porte pvc porte sectionnelle porte fenetre rideau metallique porte coulissante moustiquaire store banne store exterieur store de fenetre store interieur store roulant store de veranda store venitien piece detachee de volet roulant volet roulant motorise fenetre en aluminium fenetre sur mesure huisserie porte fenetre en pvc portail electrique fenetre en bois sur mesure baie vitree store californien norme francaise  nf  normes cekal normes acotherm normes cstb volets roulants fenetres stores portes  portails portes de garage menuiserie pvc fenetres pvc un nom  une marque  une qualite   nous nous deplacons pour la fabrication de fenetres en pvc et en aluminium ainsi que pour la fabrication de stores et de volets roulants nos prestations incluent egalement la fabrication de portes d entree mais aussi la pose de fermetures de securite sans oublier la fabrication de portes de garage la renovation de verandas fait partie de notre gamme de services nous avons accumule une importante experience depuis 1977 van elsuwe alain est implante a rantigny et nous travaillons aussi dans les environs nous disposons de la certification norme francaise  nf  ;False
entreprises de maconnerie maconnerie de batiment industriel maconnerie de travaux publics produits chape dallage en beton   ;False
fabrication  installation  reparation de pompes    ;False
sieges sociaux pose armoire electrique electricite courant faible installation basse tension produits installation electrique  sieges sociaux entreprises d electricite generale ;True
pepinieristes    ;False
renovation immobiliere couverture chauffage surelevation de maisons transformation de maisons renovation de maisons  renovation immobiliere plombiers vente  installation de chauffage entreprises de menuiserie entreprises de couverture entreprises de maconnerie pour rester en securite  n attendez pas pour remettre en etat votre toiture picot charly est une entreprise generale de batiment qui realise des travaux tous corps d etat depuis plus de 55 ans  nous realisons vos travaux d assainissement et de plomberie ;True
fabrication de cuves  de citernes  de reservoirs chaudronnerie industrielle procedes fluides cuverie calorifugeage bureau d etudes vapeur  fabrication de cuves  de citernes  de reservoirs tuyauterie industrielle concepteur et fabricant de systemes fluides entreprise bretonne performante dans le secteur du procede fluide nos competences vont de la conception a la maitrise d ouvrage  de procedes technologiques de pointe et sur mesure ;False
activite non renseignee    ;False
materiel de protection contre le vol protection de biens protection de personnes protection d entreprises videosurveillance telesurveillance systeme de securite protection contre le vol telealarme pour personnes malades ou dependantes marques alcatel  materiel de protection contre le vol installation  materiel de radiocommunication installation de telephonie alarmes  surveillance   systemes  vente  installation  le jour ou vous recherchez une societe certifiee alcatel pour l installation de systemes d alarmes  vous pouvez nous contacter nos clients nous sollicitent pour la protection de biens  de personnes ainsi que des entreprises ;False
plombiers installation de chauffage au fioul  de chauffage au gaz  de sanitaire renovation de salle de bain energies renouvelables devis produits chaudiere a condensation au fioul  a gaz  a condensation au gaz panneau solaire chauffage central plancher chauffant chauffe eau thermodynamique quali sol qualigaz plombiers vente  installation de chauffage energies renouvelables plombiers chauffagistes  nous  realisons des travaux dans le neuf et la renovation   aupres des particuliers  des professionnels et des collectivites nous disposons de diverses certifications en gage de notre professionnalisme  serieux et notre travail de qualite ;True
charpentes restauration de charpentes restauration du patrimoine ancien surelevations de toits realisations charpente de chalet charpente lamelle colle mezzanine   ;True
vente  pose de revetements de sols et de murs    ;False
charpentes restauration de charpentes restauration du patrimoine ancien surelevations de toits realisations charpente en kit mezzanine eco artisan  ;False
travaux de forages  de sondages  construction de puits etude de sol   ;False
